;ug;loc;da;aief;afef;tef;tem
455;São Paulo;Total;Municipal;4,0;2,8;7,9;7,2
456;São Paulo;Urbana;Municipal;4,0;2,8;7,9;7,2
457;São Paulo;Rural;Municipal;3,6;2,6;8,4;1,5
458;São Paulo;Total;Privada;1,7;1,3;2,3;3,6
459;São Paulo;Urbana;Privada;1,7;1,3;2,3;3,6
460;São Paulo;Rural;Privada;2,9;2,2;3,7;5,4
461;São Paulo;Total;Pública;5,0;3,0;7,4;10,6
462;São Paulo;Urbana;Pública;5,0;3,0;7,4;10,7
463;São Paulo;Rural;Pública;4,6;2,6;7,8;6,8
464;Paraná;Total;Total;7,2;5,3;9,7;10,6
465;Paraná;Urbana;Total;7,1;5,2;9,6;10,5
466;Paraná;Rural;Total;8,7;6,8;12,1;11,4
467;Paraná;Total;Federal;10,3;0,0;10,3;9,6
468;Paraná;Urbana;Federal;10,3;0,0;10,3;9,9
469;Paraná;Rural;Federal;0,0;0,0;0,0;2,9
470;Paraná;Total;Estadual;11,1;14,3;11,1;12,0
471;Paraná;Urbana;Estadual;11,1;8,1;11,1;12,0
472;Paraná;Rural;Estadual;12,5;16,9;12,1;11,7
473;Paraná;Total;Municipal;5,9;5,9;6,0;0,0
474;Paraná;Urbana;Municipal;5,8;5,8;4,9;0,0
475;Paraná;Rural;Municipal;6,5;6,4;14,4;0,0
476;Paraná;Total;Privada;1,6;1,6;1,7;2,3
477;Paraná;Urbana;Privada;1,6;1,6;1,7;2,3
478;Paraná;Rural;Privada;2,3;0,5;5,0;3,3
479;Paraná;Total;Pública;8,2;5,9;11,1;12,0
480;Paraná;Urbana;Pública;8,1;5,9;11,0;12,0
481;Paraná;Rural;Pública;8,8;6,9;12,2;11,6
482;Santa Catarina;Total;Total;9,5;5,4;14,8;18,1
483;Santa Catarina;Urbana;Total;9,6;5,5;14,8;18,2
484;Santa Catarina;Rural;Total;8,2;4,8;14,8;16,1
485;Santa Catarina;Total;Federal;9,4;1,2;18,9;18,8
486;Santa Catarina;Urbana;Federal;9,4;1,2;18,9;19,4
487;Santa Catarina;Rural;Federal;0,0;0,0;0,0;12,4
488;Santa Catarina;Total;Estadual;15,3;8,1;19,8;20,6
489;Santa Catarina;Urbana;Estadual;15,4;8,3;19,8;20,7
490;Santa Catarina;Rural;Estadual;13,2;6,7;18,6;17,8
491;Santa Catarina;Total;Municipal;8,3;5,5;13,8;15,6
492;Santa Catarina;Urbana;Municipal;8,5;5,6;13,9;5,8
493;Santa Catarina;Rural;Municipal;6,5;4,4;12,4;35,5
494;Santa Catarina;Total;Privada;2,3;1,8;3,0;4,0
495;Santa Catarina;Urbana;Privada;2,3;1,8;3,0;4,0
496;Santa Catarina;Rural;Privada;2,4;1,5;3,4;4,1
497;Santa Catarina;Total;Pública;10,7;6,1;16,7;20,5
498;Santa Catarina;Urbana;Pública;10,9;6,2;16,8;20,6
499;Santa Catarina;Rural;Pública;8,3;4,8;15,1;17,3
500;Rio Grande do Sul;Total;Total;11,5;6,7;17,9;21,2
501;Rio Grande do Sul;Urbana;Total;11,4;6,7;17,7;21,1
502;Rio Grande do Sul;Rural;Total;12,3;6,8;20,5;23,6
503;Rio Grande do Sul;Total;Federal;13,6;0,0;14,8;21,4
504;Rio Grande do Sul;Urbana;Federal;13,6;0,0;14,8;22,8
505;Rio Grande do Sul;Rural;Federal;0,0;0,0;0,0;16,2
506;Rio Grande do Sul;Total;Estadual;13,2;7,2;19,0;23,7
507;Rio Grande do Sul;Urbana;Estadual;13,2;7,2;18,9;23,5
508;Rio Grande do Sul;Rural;Estadual;13,8;7,0;20,5;26,9
509;Rio Grande do Sul;Total;Municipal;13,0;7,8;21,2;36,6
510;Rio Grande do Sul;Urbana;Municipal;13,2;8,0;21,3;36,5
511;Rio Grande do Sul;Rural;Municipal;11,9;6,7;20,6;37,0
512;Rio Grande do Sul;Total;Privada;2,3;1,6;3,4;5,4
513;Rio Grande do Sul;Urbana;Privada;2,3;1,6;3,4;5,3
514;Rio Grande do Sul;Rural;Privada;5,4;5,1;6,1;11,9
515;Rio Grande do Sul;Total;Pública;13,1;7,6;20,3;23,6
516;Rio Grande do Sul;Urbana;Pública;13,2;7,7;20,2;23,6
517;Rio Grande do Sul;Rural;Pública;12,3;6,8;20,5;24,2
518;Mato Grosso do Sul;Total;Total;17,1;13,6;21,8;21,6
519;Mato Grosso do Sul;Urbana;Total;16,0;12,8;20,3;20,5
520;Mato Grosso do Sul;Rural;Total;26,7;20,8;34,9;35,6
521;Mato Grosso do Sul;Total;Federal;4,4;0,0;4,4;16,9
522;Mato Grosso do Sul;Urbana;Federal;4,4;0,0;4,4;16,2
523;Mato Grosso do Sul;Rural;Federal;0,0;0,0;0,0;22,5
524;Mato Grosso do Sul;Total;Estadual;23,6;19,1;24,0;24,2
525;Mato Grosso do Sul;Urbana;Estadual;23,8;21,4;23,9;23,1
526;Mato Grosso do Sul;Rural;Estadual;21,8;13,6;26,3;38,3
527;Mato Grosso do Sul;Total;Municipal;17,8;15,3;25,2;14,6
528;Mato Grosso do Sul;Urbana;Municipal;16,3;14,5;22,0;0,0
529;Mato Grosso do Sul;Rural;Municipal;28,0;21,8;38,6;14,6
530;Mato Grosso do Sul;Total;Privada;2,1;1,8;2,6;3,1
531;Mato Grosso do Sul;Urbana;Privada;2,1;1,8;2,6;2,6
532;Mato Grosso do Sul;Rural;Privada;3,8;1,9;5,4;16,3
533;Mato Grosso do Sul;Total;Pública;19,3;15,4;24,5;23,9
534;Mato Grosso do Sul;Urbana;Pública;18,3;14,7;23,1;22,8
535;Mato Grosso do Sul;Rural;Pública;27,0;21,0;35,4;36,7
536;Mato Grosso;Total;Total;5,6;3,3;8,7;13,3
537;Mato Grosso;Urbana;Total;5,3;3,0;8,3;13,2
538;Mato Grosso;Rural;Total;7,9;5,0;12,2;14,3
539;Mato Grosso;Total;Federal;0,0;0,0;0,0;13,3
540;Mato Grosso;Urbana;Federal;0,0;0,0;0,0;13,2
541;Mato Grosso;Rural;Federal;0,0;0,0;0,0;13,9
542;Mato Grosso;Total;Estadual;8,9;6,0;9,2;14,4
543;Mato Grosso;Urbana;Estadual;8,7;4,0;9,0;14,4
544;Mato Grosso;Rural;Estadual;11,0;9,6;11,5;14,4
545;Mato Grosso;Total;Municipal;3,9;3,2;10,1;0,0
546;Mato Grosso;Urbana;Municipal;3,5;3,1;8,6;0,0
547;Mato Grosso;Rural;Municipal;6,2;4,2;13,6;0,0
548;Mato Grosso;Total;Privada;3,0;2,7;3,5;3,8
549;Mato Grosso;Urbana;Privada;3,0;2,7;3,5;3,8
550;Mato Grosso;Rural;Privada;3,9;1,5;5,6;18,2
551;Mato Grosso;Total;Pública;5,9;3,4;9,4;14,3
552;Mato Grosso;Urbana;Pública;5,6;3,1;9,0;14,3
553;Mato Grosso;Rural;Pública;7,9;5,1;12,2;14,3
554;Goiás;Total;Total;8,7;6,1;12,0;12,1
555;Goiás;Urbana;Total;8,6;6,1;11,8;11,9
556;Goiás;Rural;Total;10,9;7,3;17,1;17,5
557;Goiás;Total;Federal;11,3;10,4;12,3;16,8
558;Goiás;Urbana;Federal;11,3;10,4;12,3;17,2
559;Goiás;Rural;Federal;0,0;0,0;0,0;15,6
560;Goiás;Total;Estadual;12,0;4,9;12,1;13,1
561;Goiás;Urbana;Estadual;12,0;4,6;12,0;13,0
562;Goiás;Rural;Estadual;15,6;5,8;16,0;19,6
563;Goiás;Total;Municipal;8,8;6,9;16,9;10,6
564;Goiás;Urbana;Municipal;8,7;6,9;16,8;10,6
565;Goiás;Rural;Municipal;10,2;7,4;18,2;10,3
566;Goiás;Total;Privada;3,5;3,0;4,5;4,6
567;Goiás;Urbana;Privada;3,5;3,0;4,5;4,5
568;Goiás;Rural;Privada;4,9;2,9;7,6;9,3
569;Goiás;Total;Pública;9,9;6,9;13,4;13,2
570;Goiás;Urbana;Pública;9,8;6,9;13,2;13,1
571;Goiás;Rural;Pública;11,1;7,4;17,3;18,3
572;Distrito Federal;Total;Total;11,2;8,2;15,1;17,8
573;Distrito Federal;Urbana;Total;11,0;8,0;14,8;17,6
574;Distrito Federal;Rural;Total;14,7;11,3;21,3;26,1
575;Distrito Federal;Total;Federal;4,5;0,0;4,5;15,8
576;Distrito Federal;Urbana;Federal;4,5;0,0;4,5;14,2
577;Distrito Federal;Rural;Federal;0,0;0,0;0,0;24,3
578;Distrito Federal;Total;Estadual;14,0;10,4;18,7;22,2
579;Distrito Federal;Urbana;Estadual;14,0;10,3;18,5;22,1
580;Distrito Federal;Rural;Estadual;15,0;11,4;22,2;26,1
581;Distrito Federal;Total;Privada;3,7;2,1;5,7;4,6
582;Distrito Federal;Urbana;Privada;3,6;2,1;5,6;4,3
583;Distrito Federal;Rural;Privada;7,7;1,2;10,2;30,0
584;Distrito Federal;Total;Pública;14,0;10,4;18,5;21,9
585;Distrito Federal;Urbana;Pública;13,9;10,3;18,3;21,7
586;Distrito Federal;Rural;Pública;15,0;11,4;22,2;25,6
587;;;;;;;
588;;;;;;;
